REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
AUVERGNE-RHONE-ALPES;DROME;26362;VALENCE;55;2371806;9437;
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74010;ANNECY;441;1979236;6913;
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74281;THONON-LES-BAINS;87;2021197;7561;
AUVERGNE-RHONE-ALPES;ISERE;38185;GRENOBLE;175;2192361;8544;
AUVERGNE-RHONE-ALPES;LOIRE;42218;SAINTETIENNE;72;1940344;6088;
AUVERGNE-RHONE-ALPES;PUY-DE-DOME;63113;CLERMONT-FERRAND;105;1926955;5986;
AUVERGNE-RHONE-ALPES;RHONE;69029;BRON;58;1918676;5821;
AUVERGNE-RHONE-ALPES;RHONE;69034;CALUIREETCUIRE;206;2224861;8260;
AUVERGNE-RHONE-ALPES;RHONE;69123;LYON;1752;2192232;7886;
AUVERGNE-RHONE-ALPES;RHONE;69202;STEFOYLESLYON;153;2085066;7134;
AUVERGNE-RHONE-ALPES;RHONE;69204;SAINT-GENIS-LAVAL;62;2059753;6770;
AUVERGNE-RHONE-ALPES;RHONE;69244;TASSIN-LA-DEMI-LUNE;104;2012489;6615;
AUVERGNE-RHONE-ALPES;RHONE;69266;VILLEURBANNE;72;2055402;7961;
AUVERGNE-RHONE-ALPES;SAVOIE;73008;AIXLESBAINS;67;1919705;6512;
AUVERGNE-RHONE-ALPES;SAVOIE;73065;CHAMBERY;107;1956077;6690;
BOURGOGNE-FRANCHE-COMTE;COTE-D'OR;21231;DIJON;173;2111330;8098;
BOURGOGNE-FRANCHE-COMTE;DOUBS;25056;BESANCON;102;1912235;5559;
BRETAGNE;FINISTERE;29019;BREST;65;2210295;8360;
BRETAGNE;ILLE-ET-VILAINE;35238;RENNES;464;2272631;8769;
BRETAGNE;ILLE-ET-VILAINE;35288;SAINTMALO;137;2310414;10849;
BRETAGNE;MORBIHAN;56260;VANNES;132;1919159;6030;
CENTRE-VALDELOIRE;CHER;18033;BOURGES;51;1827427;6112;
CENTRE-VALDELOIRE;EURE-ET-LOIR;28085;CHARTRES;83;2262141;9972;
CENTRE-VALDELOIRE;INDRE-ET-LOIRE;37261;TOURS;175;2024694;6754;
CENTRE-VALDELOIRE;LOIRET;45232;OLIVET;51;2136462;8430;
CENTRE-VALDELOIRE;LOIRET;45234;ORLEANS;136;2211187;8276;
CORSE;CORSE-DU-SUD;2A004;AJACCIO;161;2274409;9562;
CORSE;HAUTE-CORSE;2B033;BASTIA;53;2112834;7528;
GRAND-EST;AUBE;10387;TROYES;52;2344257;11001;
GRAND-EST;BAS-RHIN;67482;STRASBOURG;614;2313392;9090;
GRAND-EST;HAUT-RHIN;68066;COLMAR;76;2376934;10615;
GRAND-EST;HAUT-RHIN;68224;MULHOUSE;76;2237268;9173;
GRAND-EST;MARNE;51454;REIMS;234;2068758;7368;
GRAND-EST;MEURTHE-ET-MOSELLE;54395;NANCY;183;2357628;7399;
GRAND-EST;MOSELLE;57463;METZ;130;2073097;6999;
GRAND-EST;MOSELLE;57672;THIONVILLE;68;1894522;6066;
ILE-DE-FRANCE;ESSONNE;91114;BRUNOY;51;2083751;7961;
ILE-DE-FRANCE;ESSONNE;91272;GIFSURYVETTE;95;2030689;7282;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92002;ANTONY;229;1983852;7066;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92004;ASNIERES;280;2242350;8033;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92009;BOIS-COLOMBES;115;1905506;5349;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92012;BOULOGNEBILLANCOURT;1661;2188566;8093;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92014;BOURGLAREINE;149;2184140;8602;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92019;CHATENAYMALABRY;95;2098436;8313;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92020;CHATILLON;75;2089413;7768;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92022;CHAVILLE;100;1874160;6049;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92023;CLAMART;238;2025761;6804;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92024;CLICHY;52;2064632;7865;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92025;COLOMBES;167;2078710;7399;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92026;COURBEVOIE;327;1957863;6982;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92032;FONTENAYAUXROSES;67;1964281;6221;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92035;LAGARENNECOLOMBES;125;2012671;7040;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92040;ISSYLESMOULINEAUX;307;1989044;6381;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92044;LEVALLOIS-PERRET;546;2236646;8473;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92046;MALAKOFF;61;2216359;7814;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92048;MEUDON;368;2047999;6816;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92049;MONTROUGE;158;2220990;9363;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92050;NANTERRE;91;2130974;7607;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92051;NEUILLYSURSEINE;3387;2835535;13717;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92060;LEPLESSISROBINSON;69;2007167;6522;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92062;PUTEAUX;108;2040941;7386;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92063;RUEILMALMAISON;625;2129156;7235;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92064;SAINTCLOUD;585;2349573;8918;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92072;SEVRES;247;2030028;6889;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92073;SURESNES;229;2024497;6802;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92075;VANVES;140;2042435;7333;
ILE-DE-FRANCE;PARIS;75101;VILLEDEPARIS;482;2692823;12570;
ILE-DE-FRANCE;PARIS;75102;VILLEDEPARIS;270;2225963;8608;
ILE-DE-FRANCE;PARIS;75103;VILLEDEPARIS;681;2524441;11380;
ILE-DE-FRANCE;PARIS;75104;VILLEDEPARIS;811;2696138;12967;
ILE-DE-FRANCE;PARIS;75105;VILLEDEPARIS;1550;2315262;9056;
ILE-DE-FRANCE;PARIS;75106;VILLEDEPARIS;2588;2763411;12680;
ILE-DE-FRANCE;PARIS;75107;VILLEDEPARIS;3913;3086756;15498;
ILE-DE-FRANCE;PARIS;75108;VILLEDEPARIS;1969;2800935;13269;
ILE-DE-FRANCE;PARIS;75109;VILLEDEPARIS;1045;2203111;8353;
ILE-DE-FRANCE;PARIS;75110;VILLEDEPARIS;482;2171290;8380;
ILE-DE-FRANCE;PARIS;75111;VILLEDEPARIS;985;2121354;7816;
ILE-DE-FRANCE;PARIS;75112;VILLEDEPARIS;1051;2173504;8502;
ILE-DE-FRANCE;PARIS;75113;VILLEDEPARIS;887;2136715;8132;
ILE-DE-FRANCE;PARIS;75114;VILLEDEPARIS;1655;2294997;9173;
ILE-DE-FRANCE;PARIS;75115;VILLEDEPARIS;2948;2189492;8302;
ILE-DE-FRANCE;PARIS;75116;VILLEDEPARIS;8502;2730206;12281;
ILE-DE-FRANCE;PARIS;75117;VILLEDEPARIS;3419;2395148;9582;
ILE-DE-FRANCE;PARIS;75118;VILLEDEPARIS;720;2396047;9882;
ILE-DE-FRANCE;PARIS;75119;VILLEDEPARIS;445;2162785;7990;
ILE-DE-FRANCE;PARIS;75120;VILLEDEPARIS;447;2050431;7419;
ILE-DE-FRANCE;SEINE-SAINT-DENIS;93048;MONTREUILSOUSBOIS;79;1995166;6757;
ILE-DE-FRANCE;SEINE-SAINT-DENIS;93051;NOISYLEGRAND;64;2215525;8937;
